chr	start	end	name	gieStain
chr1	1	1735965	p36.33	gneg
chr1	1735966	4816989	p36.32	gpos25
chr1	4816990	6629068	p36.31	gneg
chr1	6629069	8634052	p36.23	gpos25
chr1	8634053	12044143	p36.22	gneg
chr1	12044144	15341266	p36.21	gpos50
chr1	15341267	19923637	p36.13	gneg
chr1	19923638	23434574	p36.12	gpos25
chr1	23434575	27441306	p36.11	gneg
chr1	27441307	29743244	p35.3	gpos25
chr1	29743245	32157918	p35.2	gneg
chr1	32157919	34161711	p35.1	gpos25
chr1	34161712	39468378	p34.3	gneg
chr1	39468379	43570492	p34.2	gpos25
chr1	43570493	46177222	p34.1	gneg
chr1	46177223	50078974	p33	gpos75
chr1	50078975	55482505	p32.3	gneg
chr1	55482506	58377946	p32.2	gpos50
chr1	58377947	60678767	p32.1	gneg
chr1	60678768	68377386	p31.3	gpos50
chr1	68377387	69177517	p31.2	gneg
chr1	69177518	84240464	p31.1	gpos100
chr1	84240465	87743231	p22.3	gneg
chr1	87743232	91344645	p22.2	gpos75
chr1	91344646	94148241	p22.1	gneg
chr1	94148242	99148340	p21.3	gpos75
chr1	99148341	101649187	p21.2	gneg
chr1	101649188	106737488	p21.1	gpos100
chr1	106737489	111214805	p13.3	gneg
chr1	111214806	115511187	p13.2	gpos50
chr1	115511188	117210493	p13.1	gneg
chr1	117210494	120413269	p12	gpos50
chr1	120413270	121796048	p11.2	gneg
chr1	121796049	124048267	p11.1	acen
chr1	124048268	126300487	q11	acen
chr1	126300488	142241659	q12	gvar
chr1	142241660	147308041	q21.1	gneg
chr1	147308042	149724009	q21.2	gpos50
chr1	149724010	154239365	q21.3	gneg
chr1	154239366	155736378	q22	gpos50
chr1	155736379	158237044	q23.1	gneg
chr1	158237045	159637083	q23.2	gpos50
chr1	159637084	164846435	q23.3	gneg
chr1	164846436	166547042	q24.1	gpos50
chr1	166547043	170256335	q24.2	gneg
chr1	170256336	172358116	q24.3	gpos75
chr1	172358117	175455343	q25.1	gneg
chr1	175455344	179655381	q25.2	gpos50
chr1	179655382	185154686	q25.3	gneg
chr1	185154687	190146214	q31.1	gpos100
chr1	190146215	193148937	q31.2	gneg
chr1	193148938	197959914	q31.3	gpos100
chr1	197959915	206365243	q32.1	gneg
chr1	206365244	210545587	q32.2	gpos25
chr1	210545588	213639518	q32.3	gneg
chr1	213639519	223089723	q41	gpos100
chr1	223089724	223588804	q42.11	gneg
chr1	223588805	225987880	q42.12	gpos25
chr1	225987881	229880334	q42.13	gneg
chr1	229880335	233990393	q42.2	gpos50
chr1	233990394	235800112	q42.3	gneg
chr1	235800113	242911804	q43	gpos75
chr1	242911805	248387328	q44	gneg
chr10	1	2999810	p15.3	gneg
chr10	2999811	3803899	p15.2	gpos25
chr10	3803900	6600140	p15.1	gneg
chr10	6600141	12211271	p14	gpos75
chr10	12211272	17318428	p13	gneg
chr10	17318429	18319354	p12.33	gpos75
chr10	18319355	18419356	p12.32	gneg
chr10	18419357	22319034	p12.31	gpos75
chr10	22319035	24318538	p12.2	gneg
chr10	24318539	29331681	p12.1	gpos50
chr10	29331682	31131269	p11.23	gneg
chr10	31131270	34228529	p11.22	gpos25
chr10	34228530	39633793	p11.21	gneg
chr10	39633794	40649191	p11.1	acen
chr10	40649192	41664589	q11.1	acen
chr10	41664590	46381004	q11.21	gneg
chr10	46381005	49449041	q11.22	gpos25
chr10	49449042	51948621	q11.23	gneg
chr10	51948622	60254318	q21.1	gpos100
chr10	60254319	63658144	q21.2	gneg
chr10	63658145	69669152	q21.3	gpos100
chr10	69669153	73971392	q22.1	gneg
chr10	73971393	76774110	q22.2	gpos50
chr10	76774111	81169099	q22.3	gneg
chr10	81169100	86980090	q23.1	gpos100
chr10	86980091	88583858	q23.2	gneg
chr10	88583859	91983671	q23.31	gpos75
chr10	91983672	93182363	q23.32	gneg
chr10	93182364	96179180	q23.33	gpos50
chr10	96179181	98380193	q24.1	gneg
chr10	98380194	100984294	q24.2	gpos50
chr10	100984295	102083356	q24.31	gneg
chr10	102083357	103986242	q24.32	gpos25
chr10	103986243	104887391	q24.33	gneg
chr10	104887392	110983867	q25.1	gpos100
chr10	110983868	113991312	q25.2	gneg
chr10	113991313	118194477	q25.3	gpos75
chr10	118194478	120797529	q26.11	gneg
chr10	120797530	122296091	q26.12	gpos50
chr10	122296092	126582419	q26.13	gneg
chr10	126582420	129725246	q26.2	gpos50
chr10	129725247	134758134	q26.3	gneg
chr11	1	2889344	p15.5	gneg
chr11	2889345	11789203	p15.4	gpos50
chr11	11789204	13892569	p15.3	gneg
chr11	13892570	16997372	p15.2	gpos50
chr11	16997373	22120532	p15.1	gneg
chr11	22120533	26340879	p14.3	gpos100
chr11	26340880	27340466	p14.2	gneg
chr11	27340467	31136090	p14.1	gpos75
chr11	31136091	36542448	p13	gneg
chr11	36542449	43555411	p12	gpos100
chr11	43555412	48958062	p11.2	gneg
chr11	48958063	51035789	p11.12	gpos75
chr11	51035790	52743313	p11.11	acen
chr11	52743314	54450838	q11	acen
chr11	54450839	60051280	q12.1	gpos75
chr11	60051281	61888804	q12.2	gneg
chr11	61888805	63589288	q12.3	gpos25
chr11	63589289	66094130	q13.1	gneg
chr11	66094131	68706120	q13.2	gpos25
chr11	68706121	70520423	q13.3	gneg
chr11	70520424	75429506	q13.4	gpos50
chr11	75429507	77332929	q13.5	gneg
chr11	77332930	85836684	q14.1	gpos100
chr11	85836685	88519134	q14.2	gneg
chr11	88519135	92928863	q14.3	gpos100
chr11	92928864	97406624	q21	gneg
chr11	97406625	102302118	q22.1	gpos100
chr11	102302119	103003764	q22.2	gneg
chr11	103003765	110610246	q22.3	gpos100
chr11	110610247	112710438	q23.1	gneg
chr11	112710439	114610447	q23.2	gpos50
chr11	114610448	121325059	q23.3	gneg
chr11	121325060	124028615	q24.1	gpos50
chr11	124028616	127933253	q24.2	gneg
chr11	127933254	130935758	q24.3	gpos50
chr11	130935759	135127769	q25	gneg
chr12	1	3215744	p13.33	gneg
chr12	3215745	5306179	p13.32	gpos25
chr12	5306180	9886155	p13.31	gneg
chr12	9886156	12469144	p13.2	gpos75
chr12	12469145	14477435	p13.1	gneg
chr12	14477436	19678338	p12.3	gpos100
chr12	19678339	20978622	p12.2	gneg
chr12	20978623	26172544	p12.1	gpos100
chr12	26172545	27471672	p11.23	gneg
chr12	27471673	30374680	p11.22	gpos50
chr12	30374681	34620838	p11.21	gneg
chr12	34620839	35911664	p11.1	acen
chr12	35911665	37202490	q11	acen
chr12	37202491	45959545	q12	gpos100
chr12	45959546	48662027	q13.11	gneg
chr12	48662028	51062917	q13.12	gpos25
chr12	51062918	54466577	q13.13	gneg
chr12	54466578	56167601	q13.2	gpos25
chr12	56167602	57668365	q13.3	gneg
chr12	57668366	62678775	q14.1	gpos75
chr12	62678776	64679035	q14.2	gneg
chr12	64679036	67279394	q14.3	gpos50
chr12	67279395	71079501	q15	gneg
chr12	71079502	75274601	q21.1	gpos75
chr12	75274602	79878671	q21.2	gneg
chr12	79878672	86280942	q21.31	gpos100
chr12	86280943	88581935	q21.32	gneg
chr12	88581936	92177463	q21.33	gpos100
chr12	92177464	95779143	q22	gneg
chr12	95779144	101161710	q23.1	gpos75
chr12	101161711	103460805	q23.2	gneg
chr12	103460806	108574599	q23.3	gpos50
chr12	108574600	111279651	q24.11	gneg
chr12	111279652	111876909	q24.12	gpos25
chr12	111876910	113875849	q24.13	gneg
chr12	113875850	116381153	q24.21	gpos50
chr12	116381154	117687226	q24.22	gneg
chr12	117687227	120287197	q24.23	gpos50
chr12	120287198	125408188	q24.31	gneg
chr12	125408189	128730796	q24.32	gpos50
chr12	128730797	133324548	q24.33	gneg
chr13	0	5751447	p13	gvar
chr13	5751448	9368750	p12	stalk
chr13	9368751	15547593	p11.2	gvar
chr13	15547594	16522942	p11.1	acen
chr13	16522943	17498291	q11	acen
chr13	17498292	21797623	q12.11	gneg
chr13	21797624	24108235	q12.12	gpos25
chr13	24108236	26420720	q12.13	gneg
chr13	26420721	27522230	q12.2	gpos25
chr13	27522231	30823418	q12.3	gneg
chr13	30823419	32617334	q13.1	gpos50
chr13	32617335	34118269	q13.2	gneg
chr13	34118270	38718394	q13.3	gpos75
chr13	38718395	43819777	q14.11	gneg
chr13	43819778	44420051	q14.12	gpos25
chr13	44420052	45921251	q14.13	gneg
chr13	45921252	49520618	q14.2	gpos50
chr13	49520619	53916044	q14.3	gneg
chr13	53916045	58219746	q21.1	gpos100
chr13	58219747	61020124	q21.2	gneg
chr13	61020125	64418827	q21.31	gpos75
chr13	64418828	67322320	q21.32	gneg
chr13	67322321	72021474	q21.33	gpos100
chr13	72021475	74123996	q22.1	gneg
chr13	74123997	75923712	q22.2	gpos50
chr13	75923713	77725243	q22.3	gneg
chr13	77725244	86303655	q31.1	gpos100
chr13	86303656	88604095	q31.2	gneg
chr13	88604096	93603590	q31.3	gpos100
chr13	93603591	96706317	q32.1	gneg
chr13	96706318	97909939	q32.2	gpos25
chr13	97909940	100315089	q32.3	gneg
chr13	100315090	103418692	q33.1	gpos100
chr13	103418693	105620405	q33.2	gneg
chr13	105620406	108828306	q33.3	gpos100
chr13	108828307	113566686	q34	gneg
chr14	1	2077628	p13	gvar
chr14	2077629	2840421	p12	stalk
chr14	2840422	10092112	p11.2	gvar
chr14	10092113	11400261	p11.1	acen
chr14	11400262	12708411	q11.1	acen
chr14	12708412	18298312	q11.2	gneg
chr14	18298313	27096896	q12	gpos100
chr14	27096897	28999171	q13.1	gneg
chr14	28999172	30288797	q13.2	gpos50
chr14	30288798	31589055	q13.3	gneg
chr14	31589056	37191028	q21.1	gpos100
chr14	37191029	40898832	q21.2	gneg
chr14	40898833	44606207	q21.3	gpos100
chr14	44606208	47808271	q22.1	gneg
chr14	47808272	49205176	q22.2	gpos25
chr14	49205177	51806957	q22.3	gneg
chr14	51806958	55806586	q23.1	gpos75
chr14	55806587	58507715	q23.2	gneg
chr14	58507716	61607123	q23.3	gpos50
chr14	61607124	64007668	q24.1	gneg
chr14	64007669	67506518	q24.2	gpos50
chr14	67506519	73008616	q24.3	gneg
chr14	73008617	77312020	q31.1	gpos100
chr14	77312021	78613483	q31.2	gneg
chr14	78613484	83523641	q31.3	gpos100
chr14	83523642	85625240	q32.11	gneg
chr14	85625241	88427273	q32.12	gpos25
chr14	88427274	90031477	q32.13	gneg
chr14	90031478	95135433	q32.2	gpos50
chr14	95135434	96936346	q32.31	gneg
chr14	96936347	97736032	q32.32	gpos50
chr14	97736033	101161492	q32.33	gneg
chr15	1	2484618	p13	gvar
chr15	2484619	4728636	p12	stalk
chr15	4728637	16678794	p11.2	gvar
chr15	16678795	17186630	p11.1	acen
